"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4"
0,03;5,02;0,58;35,901;-0,08;6,02;0,62;33,737;0,05;7,02;0,67;37,367;-0,36;8,02;0,71;31,241
-0,09;5,02;0,58;36,006;-0,04;6,02;0,62;33,912;0,03;7,02;0,67;37,612;-0,34;8,02;0,71;31,503
-0,01;5,02;0,58;36,111;-0,10;6,02;0,62;34,086;-0,01;7,02;0,67;37,839;-0,36;8,02;0,71;31,765
0,02;5,02;0,58;36,216;-0,04;6,02;0,62;34,296;0,12;7,02;0,67;38,083;-0,34;8,02;0,71;32,027
-0,02;5,02;0,58;36,338;-0,03;6,02;0,62;34,488;0,16;7,02;0,67;38,310;-0,39;8,02;0,71;32,289
0,02;5,02;0,58;36,477;-0,09;6,02;0,62;34,697;0,07;7,02;0,67;38,572;-0,31;8,02;0,71;32,568
0,00;5,02;0,58;36,669;-0,12;6,02;0,62;34,907;0,07;7,02;0,67;38,816;-0,34;8,02;0,71;32,830
0,04;5,02;0,58;36,896;-0,09;6,02;0,62;35,133;0,02;7,02;0,67;39,095;-0,42;8,02;0,71;33,109
0,13;5,02;0,58;37,193;-0,11;6,02;0,62;35,360;0,06;7,02;0,67;39,322;-0,38;8,02;0,71;33,406
0,08;5,02;0,58;37,559;-0,01;6,02;0,62;35,587;0,07;7,02;0,67;39,549;-0,31;8,02;0,71;33,667
0,08;5,02;0,58;37,874;-0,04;6,02;0,62;35,797;0,08;7,02;0,67;39,759;-0,27;8,02;0,71;33,929
0,09;5,02;0,58;38,135;-0,10;6,02;0,62;35,989;0,06;7,02;0,67;39,985;-0,29;8,02;0,71;34,174
0,15;5,02;0,58;38,362;-0,10;6,02;0,62;36,163;0,06;7,02;0,67;40,265;-0,30;8,02;0,71;34,453
0,11;5,02;0,58;38,554;-0,07;6,02;0,62;36,320;0,13;7,02;0,67;40,579;-0,33;8,02;0,71;34,715
0,00;5,02;0,58;38,729;-0,09;6,02;0,62;36,477;0,09;7,02;0,67;40,823;-0,31;8,02;0,71;34,994
0,06;5,02;0,58;38,903;-0,08;6,02;0,62;36,600;0,02;7,02;0,67;41,050;-0,31;8,02;0,71;35,256
0,06;5,02;0,58;39,043;-0,12;6,02;0,62;36,722;0,11;7,02;0,67;41,260;-0,31;8,02;0,71;35,517
-0,02;5,02;0,58;39,130;-0,09;6,02;0,62;36,879;0,17;7,02;0,67;41,486;-0,48;8,02;0,71;35,849
-0,04;5,02;0,58;39,200;-0,04;6,02;0,62;37,036;0,19;7,02;0,67;41,696;-0,45;8,02;0,71;36,268
-4,73E-4;5,02;0,58;39,235;-0,14;6,02;0,62;37,228;0,24;7,02;0,67;41,940;-0,48;8,02;0,71;36,652
-0,04;5,02;0,58;39,270;-0,15;6,02;0,62;37,420;0,15;7,02;0,67;42,220;-0,45;8,02;0,71;37,018
0,02;5,02;0,58;39,357;-0,03;6,02;0,62;37,612;0,08;7,02;0,67;42,499;-0,39;8,02;0,71;37,298
-0,03;5,02;0,58;39,514;0,01;6,02;0,62;37,804;0,03;7,02;0,66;42,726;-0,32;8,02;0,71;37,559
-0,10;5,02;0,58;39,636;-0,09;6,02;0,62;38,031;0,25;7,02;0,67;42,918;-0,36;8,02;0,71;37,804
-0,06;5,02;0,58;39,776;-0,07;6,02;0,62;38,275;0,27;7,02;0,67;43,127;-0,37;8,02;0,71;38,013
-0,04;5,02;0,58;39,916;-0,11;6,02;0,62;38,537;0,25;7,02;0,67;43,354;-0,42;8,02;0,71;38,258
-0,07;5,02;0,58;40,108;-0,06;6,02;0,62;38,799;0,18;7,02;0,67;43,598;-0,31;8,02;0,71;38,485
0,04;5,02;0,58;40,282;-0,09;6,02;0,62;39,060;0,12;7,02;0,67;43,860;-0,40;8,02;0,71;38,746
0,01;5,02;0,58;40,439;-0,11;6,02;0,62;39,287;0,15;7,02;0,67;44,087;-0,34;8,02;0,71;39,026
0,00;5,02;0,58;40,579;-0,09;6,02;0,62;39,549;0,11;7,02;0,67;44,331;-0,30;8,02;0,71;39,322
