"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4";"Relative Intensity (%) Run #5";"Output Voltage Ch H (V) Run #5";"Output Current Ch H (A) Run #5";"Angle (rad) Run #5";"Relative Intensity (%) Run #6";"Output Voltage Ch H (V) Run #6";"Output Current Ch H (A) Run #6";"Angle (rad) Run #6";"Relative Intensity (%) Run #7";"Output Voltage Ch H (V) Run #7";"Output Current Ch H (A) Run #7";"Angle (rad) Run #7";"Relative Intensity (%) Run #8";"Output Voltage Ch H (V) Run #8";"Output Current Ch H (A) Run #8";"Angle (rad) Run #8";"Relative Intensity (%) Run #9";"Output Voltage Ch H (V) Run #9";"Output Current Ch H (A) Run #9";"Angle (rad) Run #9";"Relative Intensity (%) Run #10";"Output Voltage Ch H (V) Run #10";"Output Current Ch H (A) Run #10";"Angle (rad) Run #10"
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,07;8,02;0,72;0,000
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;-0,01;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,00;8,02;0,72;0,000
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;0,08;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,00;8,02;0,72;0,000
0,00;3,52;0,50;0,000;-0,01;4,02;0,52;0,000;0,06;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,52;0,50;0,000;-0,02;4,02;0,52;0,000;-0,04;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,09;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,02;4,02;0,52;0,000;-0,03;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;-0,11;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,12;4,02;0,52;0,000;-0,13;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,35;4,02;0,52;0,000;-0,09;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
-0,02;3,52;0,50;0,000;-0,45;4,02;0,52;0,000;0,16;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;-0,06;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
0,02;3,52;0,50;0,000;-0,55;4,02;0,52;0,000;0,10;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;-0,06;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,10;3,52;0,50;0,000;-0,40;4,02;0,52;0,000;3,05E-5;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,11;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
